year,species,total_weight,total_value,total_trips,total_harvs
2008,Crab Jonah,1612074.85,577647.265,12008,617
2008,Lobster American,69908503.87,245150025.656,269558,5472
2009,Crab Jonah,1256291.5,423317.95,9348,542
2009,Lobster American,81174638.41,237536890.134,265720,5718
2010,Crab Jonah,1093868.7,371260.725,8530,506
2010,Lobster American,96208771.67,318891895.062,280005,5241
2011,Crab Jonah,1071815.9,372050.09,7875,412
2011,Lobster American,104924727.77,334539733.8,272974,5352
2012,Crab Jonah,556138.4,217460.475,5037,298
2012,Lobster American,127321422.13,342079519.755,281124,5045
2013,Crab Jonah,378339.8,186096.56,2927,199
2013,Lobster American,127808436.37,370383981.492,283908,4943
2014,Crab Jonah,348294.9,106031.36,1371,170
2014,Lobster American,124325923.07,459508386.057,266395,4980
2015,Crab Jonah,309621.26,158346.41,1899,191
2015,Lobster American,122663393.41,502450308.942,270251,5050
2016,Crab Jonah,625124.26,308023.5,2917,326
2016,Lobster American,132490774.29,540183009.933,293675,5123
2017,Crab Jonah,1168678.15,561645.35,5621,390
2017,Lobster American,111982334.24,438515983.414,276493,5143
2018,Crab Jonah,1061489.44,626183.2139999999,5109,385
2018,Lobster American,121500763.85,492307297.887,264820,5022
2019,Crab Jonah,285138.8,136403.305,2133,153
2019,Lobster American,90493197.99,434891500.795,233029,4276
2020,Crab Jonah,693864.34,375750.20300000004,4731,358
2020,Lobster American,97953701.58,412625796.845,220593,4510
2021,Crab Jonah,1426461.7,1104122.053,9082,621
2021,Lobster American,110578942.29,742168052.061,255143,4542
2022,Crab Jonah,1937149.06,1875693.971,12693,731
2022,Lobster American,97975441.24,388717580.052,209053,4333
