Year,Value,Species
1974,"135,638","CRAB, JONAH"
1975,"93,178","CRAB, JONAH"
1976,"150,655","CRAB, JONAH"
1977,"224,961","CRAB, JONAH"
1978,"173,544","CRAB, JONAH"
1979,"150,779","CRAB, JONAH"
1980,"231,216","CRAB, JONAH"
1981,"112,963","CRAB, JONAH"
1982,"31,337","CRAB, JONAH"
1983,"25,574","CRAB, JONAH"
1984,"119,890","CRAB, JONAH"
1985,"165,573","CRAB, JONAH"
1986,"219,626","CRAB, JONAH"
1987,"589,180","CRAB, JONAH"
1988,"472,141","CRAB, JONAH"
1989,"588,517","CRAB, JONAH"
1990,"457,502","CRAB, JONAH"
1991,"482,853","CRAB, JONAH"
1992,"476,265","CRAB, JONAH"
1993,"473,383","CRAB, JONAH"
1994,"1,240,749","CRAB, JONAH"
1995,"1,122,379","CRAB, JONAH"
1996,"1,284,551","CRAB, JONAH"
1997,"2,132,202","CRAB, JONAH"
1998,"1,358,988","CRAB, JONAH"
1999,"1,649,200","CRAB, JONAH"
2000,"1,572,523","CRAB, JONAH"
2001,"2,182,606","CRAB, JONAH"
2002,"1,503,443","CRAB, JONAH"
2003,"1,631,530","CRAB, JONAH"
2004,"2,055,186","CRAB, JONAH"
2005,"3,536,173","CRAB, JONAH"
2006,"3,062,395","CRAB, JONAH"
2007,"4,805,096","CRAB, JONAH"
2008,"5,421,662","CRAB, JONAH"
2009,"4,791,472","CRAB, JONAH"
2010,"5,977,603","CRAB, JONAH"
2011,"5,996,218","CRAB, JONAH"
2012,"8,639,388","CRAB, JONAH"
2013,"13,171,551","CRAB, JONAH"
2014,"13,495,078","CRAB, JONAH"
2015,"10,287,441","CRAB, JONAH"
2016,"12,278,660","CRAB, JONAH"
2017,"16,673,551","CRAB, JONAH"
2018,"18,553,633","CRAB, JONAH"
2019,"13,099,872","CRAB, JONAH"
2020,"11,144,422","CRAB, JONAH"
2021,"12,822,148","CRAB, JONAH"
2022,"21,920,442","CRAB, JONAH"
